id_transakcji,Data,Rodzaj transakcji,koszt,id_wizyty jeśli wizyta
1,2019-10-05,testy alergiczne,150,0
2,2019-10-05,kontrolna,40,1
3,2019-10-06,badanie krwi,60,2
4,2019-10-07,zabieg higieniczny drobny,50,3
5,2019-10-07,chipowanie,60,4
6,2019-10-07,zabieg higieniczy duży,80,5
7,2019-10-07,szczepienie,30,6
8,2019-10-07,zabieg higieniczny drobny,50,7
9,2019-10-07,USG,100,8
10,2019-10-07,USG,100,9
11,2019-10-07,konsultacja chirurgiczna,40,10
12,2019-10-07,operacja w znieczuleniu częściowym,400,11
13,2019-10-07,operacja pod narkozą,450,12
14,2019-10-07,konsultacja chirurgiczna,40,13
15,2019-10-07,zabieg chirurgiczny drobny,100,14
16,2019-10-07,konsultacja chirurgiczna,40,15
17,2019-10-07,zabieg chirurgiczny drobny,100,16
18,2019-10-07,konsultacja chirurgiczna,40,17
19,2019-10-08,antykoncepcja,150,18
20,2019-10-08,eutanazja,200,19
21,2019-10-08,zabieg higieniczny drobny,50,20
22,2019-10-08,zabieg higieniczny drobny,50,21
23,2019-10-08,zabieg higieniczny drobny,50,22
24,2019-10-08,konsultacja chirurgiczna,40,23
25,2019-10-09,testy alergiczne,150,24
26,2019-10-09,kroplówka witaminowa,50,25
27,2019-10-09,badanie krwi,60,26
28,2019-10-09,antykoncepcja,150,27
29,2019-10-09,antykoncepcja,150,28
30,2019-10-09,antykoncepcja,150,29
31,2019-10-09,EKG,80,30
32,2019-10-09,badanie krwi,60,32
33,2019-10-09,zabieg higieniczny drobny,50,33
34,2019-10-09,zabieg higieniczy duży,80,34
35,2019-10-09,Kompleksowy zestaw badań,250,35
36,2019-10-09,konsultacja chirurgiczna,40,36
37,2019-10-09,zabieg chirurgiczny drobny,100,38
38,2019-10-09,zabieg chrurgii zewnętrznej,300,40
39,2019-10-09,zabieg chirurgiczny drobny,100,41
40,2019-10-10,chipowanie,60,42
41,2019-10-10,antykoncepcja,150,43
42,2019-10-10,kontrolna,40,44
43,2019-10-10,EKG,80,45
44,2019-10-10,USG,100,46
45,2019-10-10,wydanie paszportu,100,47
46,2019-10-10,konsultacja chirurgiczna,40,49
47,2019-10-10,zabieg chirurgiczny drobny,100,50
48,2019-10-10,zabieg chrurgii zewnętrznej,300,51
49,2019-10-10,zabieg chrurgii zewnętrznej,300,52
50,2019-10-10,konsultacja chirurgiczna,40,53
51,2019-10-10,konsultacja chirurgiczna,40,54
52,2019-10-11,zabieg higieniczy duży,80,55
53,2019-10-11,badanie krwi,60,56
54,2019-10-11,RTG,80,57
55,2019-10-11,zabieg higieniczy duży,80,58
56,2019-10-11,chipowanie,60,59
57,2019-10-11,chipowanie,60,60
58,2019-10-11,EKG,80,61
59,2019-10-12,szczepienie,30,62
60,2019-10-13,badanie krwi,60,63
61,2019-10-14,EKG,80,64
62,2019-10-14,chipowanie,60,65
63,2019-10-14,konsultacja chirurgiczna,40,66
64,2019-10-14,zabieg chirurgiczny drobny,100,67
65,2019-10-14,konsultacja chirurgiczna,40,68
66,2019-10-14,konsultacja chirurgiczna,40,69
67,2019-10-15,kroplówka witaminowa,50,70
68,2019-10-15,EKG,80,71
69,2019-10-15,chipowanie,60,72
70,2019-10-15,kontrolna,40,73
71,2019-10-15,RTG,80,74
72,2019-10-15,chipowanie,60,75
73,2019-10-15,RTG,80,76
74,2019-10-15,konsultacja chirurgiczna,40,77
75,2019-10-15,zabieg chirurgii wewnętrznej,300,78
76,2019-10-15,konsultacja chirurgiczna,40,79
77,2019-10-15,zabieg chirurgiczny drobny,100,80
78,2019-10-15,operacja w znieczuleniu częściowym,400,81
79,2019-10-15,operacja w znieczuleniu częściowym,400,82
80,2019-10-16,antykoncepcja,150,83
81,2019-10-16,antykoncepcja,150,84
82,2019-10-16,chipowanie,60,85
83,2019-10-16,zabieg higieniczny drobny,50,86
84,2019-10-16,kontrolna,40,87
85,2019-10-16,konsultacja chirurgiczna,40,88
86,2019-10-16,konsultacja chirurgiczna,40,89
87,2019-10-16,konsultacja chirurgiczna,40,90
88,2019-10-16,zabieg chirurgiczny drobny,100,91
89,2019-10-16,konsultacja chirurgiczna,40,92
90,2019-10-16,zabieg chirurgiczny drobny,100,93
91,2019-10-16,konsultacja chirurgiczna,40,94
92,2019-10-16,zabieg chirurgii wewnętrznej,300,95
93,2019-10-17,zabieg ortopedyczny,200,96
94,2019-10-17,Kompleksowy zestaw badań,250,97
95,2019-10-17,EKG,80,98
96,2019-10-17,kontrolna,40,99
97,2019-10-17,testy alergiczne,150,100
98,2019-10-17,zabieg higieniczny drobny,50,101
99,2019-10-17,kontrolna,40,102
100,2019-10-17,szczepienie,30,103
101,2019-10-17,testy alergiczne,150,104
102,2019-10-17,konsultacja chirurgiczna,40,106
103,2019-10-17,zabieg chirurgiczny drobny,100,107
104,2019-10-17,zabieg chirurgiczny drobny,100,108
105,2019-10-17,konsultacja chirurgiczna,40,109
106,2019-10-17,zabieg chirurgiczny drobny,100,110
107,2019-10-17,zabieg chirurgiczny drobny,100,111
108,2019-10-17,zabieg chirurgiczny drobny,100,112
109,2019-10-18,wydanie paszportu,100,114
110,2019-10-19,zabieg ortopedyczny,200,115
111,2019-10-19,USG,100,116
112,2019-10-20,antykoncepcja,150,117
113,2019-10-20,szczepienie,30,118
114,2019-10-21,zabieg ortopedyczny,200,119
