,id_wizyty,Data,Godzina,Id lekarza,Czas trwania wizyty,Rodzaj wizyty,id_zwierzęcia
0,0,2019-10-05,11:15:00,1,01:00,testy alergiczne,772
1,1,2019-10-05,12:45:00,1,00:15,kontrolna,486
2,2,2019-10-06,09:00:00,2,00:15,badanie krwi,1109
3,3,2019-10-07,09:00:00,1,00:15,zabieg higieniczny drobny,894
4,4,2019-10-07,09:15:00,1,00:15,chipowanie,594
5,5,2019-10-07,10:00:00,1,00:30,zabieg higieniczy duży,894
6,6,2019-10-07,11:00:00,1,00:15,szczepienie,894
7,7,2019-10-07,11:45:00,1,00:15,zabieg higieniczny drobny,594
8,8,2019-10-07,12:30:00,1,00:30,USG,1109
9,9,2019-10-07,15:30:00,1,00:30,USG,594
10,10,2019-10-07,08:15:00,3,00:15,konsultacja chirurgiczna,304
11,11,2019-10-07,08:30:00,3,02:00,operacja w znieczuleniu częściowym,894
12,12,2019-10-07,10:30:00,3,02:00,operacja pod narkozą,1159
13,13,2019-10-07,13:45:00,3,00:15,konsultacja chirurgiczna,894
14,14,2019-10-07,14:00:00,3,00:30,zabieg chirurgiczny drobny,1109
15,15,2019-10-07,15:00:00,3,00:15,konsultacja chirurgiczna,594
16,16,2019-10-07,15:15:00,3,00:30,zabieg chirurgiczny drobny,1159
17,17,2019-10-07,15:45:00,3,00:15,konsultacja chirurgiczna,424
18,18,2019-10-08,14:15:00,1,01:00,antykoncepcja,800
19,19,2019-10-08,15:15:00,1,02:00,eutanazja,1159
20,20,2019-10-08,12:00:00,2,00:15,zabieg higieniczny drobny,1109
21,21,2019-10-08,14:15:00,2,00:15,zabieg higieniczny drobny,1109
22,22,2019-10-08,15:00:00,2,00:15,zabieg higieniczny drobny,542
23,23,2019-10-08,15:45:00,3,00:15,konsultacja chirurgiczna,594
24,24,2019-10-09,08:30:00,1,01:00,testy alergiczne,1109
25,25,2019-10-09,09:30:00,1,00:30,kroplówka witaminowa,542
26,26,2019-10-09,10:00:00,1,00:15,badanie krwi,1006
27,27,2019-10-09,11:00:00,1,01:00,antykoncepcja,304
28,28,2019-10-09,12:30:00,1,01:00,antykoncepcja,894
29,29,2019-10-09,14:15:00,1,01:00,antykoncepcja,594
30,30,2019-10-09,08:00:00,2,00:30,EKG,894
31,31,2019-10-09,11:00:00,2,00:15,badanie krwi,800
32,32,2019-10-09,11:30:00,2,00:15,zabieg higieniczny drobny,542
33,33,2019-10-09,12:30:00,2,00:30,zabieg higieniczy duży,894
34,34,2019-10-09,13:00:00,2,02:00,Kompleksowy zestaw badań ,894
35,35,2019-10-09,08:30:00,3,00:15,konsultacja chirurgiczna,594
36,36,2019-10-09,12:00:00,3,00:30,zabieg chirurgiczny drobny,1109
