,id_zwierzęcia,id_właściciela,Imię,Data urodzenia,Data rejestracji,Gatunek,Rasa,Płeć
0,0,11,Lili,2017-03-16,2020-07-17,kot,bobtail,K
1,1,406,Fifka,2018-03-15,2020-11-19,pies,cavalier,K
2,2,831,Borówka,2019-05-27,2021-03-09,kot,bengalski,K
3,3,543,Roxi,2019-04-20,2021-04-25,szczur domowy,,K
4,4,39,Dżasti,2021-03-01,2021-05-10,szczur domowy,,K
5,5,864,Jessica,2012-06-26,2020-03-13,pies,spaniel,K
6,6,229,Nala,2019-09-15,2020-10-27,kot,syjamski,K
7,7,84,Hiroya,2011-03-12,2021-01-20,kot,bombajski,K
8,8,834,Szasta,2011-03-05,2020-10-19,kot,amerykański,K
9,9,823,Emi,2011-10-27,2021-05-18,kot,ragdoll,K
10,10,274,Dusia,2019-03-06,2020-02-05,pies,dalmatyńczyk,K
11,11,457,Milka,2019-11-20,2020-01-30,pies,drever,K
12,12,356,Diksi,2014-09-20,2020-03-20,pies,basenji,K
13,13,217,Oreo,2014-05-09,2020-07-14,królik,holenderski,K
14,14,363,Borya,2013-12-10,2021-02-09,pies,doberman,K
15,15,25,Abi,2012-05-23,2019-11-09,kot,doński,K
16,16,553,Kimiko,2011-06-04,2020-03-27,pies,puli,K
17,17,352,Misia,2013-03-20,2020-04-20,pies,alaskan,K
18,18,261,Alfa,2019-04-17,2020-01-28,pies,grzywacz chiński,K
19,19,378,Kofi,2014-05-17,2020-08-14,pies,komondor,K
20,20,470,Kulka,2016-10-25,2020-05-11,koszatniczka,,K
21,21,808,Rudzisława,2015-03-30,2021-05-04,pies,alaskan,K
22,22,203,Mani,2010-06-06,2020-02-15,pies,terier,K
23,23,282,Plamcia,2020-09-11,2021-01-07,ptak,kanarek,K
24,24,696,Perła,2017-05-03,2020-02-03,pies,skye,K
25,25,853,Mela,2013-02-21,2020-11-28,pies,dalmatyńczyk,K
26,26,372,Czesia,2019-02-01,2021-02-07,kot,bengalski,K
27,27,375,Loca,2016-09-10,2021-05-25,świnka morska,peruwianka,K
28,28,184,Gucia,2018-06-20,2020-07-19,pies,hollandse,K
29,29,663,Kropka,2013-05-05,2019-11-26,kot,hawański,K
30,30,248,Rufi,2015-06-16,2020-04-26,kot,bombajski,K
31,31,905,Julia,2011-07-10,2020-09-16,pies,shiba inu,K
32,32,533,Wenus,2012-06-16,2019-11-24,kot,sfinks,K
33,33,987,Mua,2018-03-10,2019-11-13,pies,doberman,K
34,34,330,Lejzi,2012-10-20,2020-06-10,pies,pekińczyk,K
35,35,876,Kali,2016-09-14,2020-05-09,koszatniczka,,K
36,36,405,Julia,2011-02-10,2020-03-31,pies,shih tzu,K
37,37,983,Jasmine,2011-04-14,2021-04-07,pies,maltańczyk,K
38,38,250,Pretty,2013-07-09,2020-04-04,kot,kartuski,K
39,39,119,Nusia,2017-08-18,2020-03-16,pies,skye,K
40,40,196,Fela,2018-12-24,2020-10-15,pies,cavalier,K
41,41,626,Ofra,2017-06-01,2021-02-12,kot,syjamski,K
42,42,223,Psotka,2017-06-05,2021-05-23,ptak,słowik chiński,K
43,43,481,Dianusia,2020-08-24,2021-04-23,pies,sznaucer,K
44,44,200,Punia,2012-10-19,2021-01-20,pies,sznaucer,K
45,45,865,Mafia,2013-02-15,2019-11-10,pies,ogar,K
46,46,922,Kiker,2013-03-28,2021-05-25,pies,sznaucer,K
47,47,176,Frotka,2010-11-24,2020-08-18,kot,bombajski,K
48,48,16,Julka,2015-10-03,2021-04-11,kot,perski,K
49,49,524,Tako,2018-03-18,2020-11-19,pies,pondeco,K
50,50,849,Mufinka,2008-06-19,2020-09-24,kot,tajski,K
51,51,739,Haidi,2014-09-04,2020-05-20,pies,samoyed,K
52,52,399,Fifa,2010-12-30,2020-06-24,pies,terier,K
53,53,161,Jessica,2010-10-02,2021-02-02,pies,basenji,K
54,54,811,Deasy,2015-07-23,2021-04-17,pies,pondeco,K
55,55,726,Bródka,2016-03-03,2020-09-20,pies,berneński,K
56,56,968,QueenLady,2017-06-02,2020-12-19,ptak,papużka falista,K
57,57,63,Leksi,2011-07-31,2021-01-05,kot,amerykański,K
58,58,522,Mela,2015-01-02,2019-10-29,pies,dalmatyńczyk,K
59,59,856,QueenLady,2013-09-22,2020-02-12,pies,lablador,K
60,60,167,Rufuska,2007-02-10,2020-10-08,pies,chiuahua,K
61,61,817,Neya,2019-08-11,2020-12-13,pies,beagle,K
62,62,530,Auriculaire,2017-10-12,2020-05-15,królik,lew miniaturka,K
63,63,307,Nirvana,2019-08-03,2020-09-20,pies,skye,K
64,64,671,Solo,2015-10-29,2021-01-31,pies,bullmastif,K
65,65,152,Misa,2014-03-26,2020-04-18,pies,bokser,K
66,66,632,Krysia,2021-05-08,2021-05-20,pies,puli,K
67,67,444,Marilyn,2013-10-28,2020-05-11,kot,hawański,K
68,68,851,IviJadzia,2019-03-01,2020-08-18,myszoskoczek,,K
69,69,956,Fatira,2015-11-07,2019-12-25,świnka morska,gładkowłosa,K
70,70,362,Bianka,2014-01-27,2021-03-24,pies,alaskan,K
71,71,616,Bessi,2011-09-12,2020-12-09,pies,skye,K
72,72,216,Malina,2016-12-18,2019-10-12,świnka morska,gładkowłosa,K
73,73,664,Mufka,2013-03-01,2020-03-01,pies,mops,K
74,74,716,Fatira,2017-03-30,2020-01-10,pies,bloodhound,K
75,75,548,Frotka,2016-08-06,2020-01-13,świnka morska,abisyńska,K
76,76,749,Carmel,2019-11-20,2020-11-20,pies,ogar,K
77,77,608,Pola,2013-12-13,2021-01-08,pies,husky,K
78,78,423,Ptysia,2011-11-10,2020-11-21,kot,doński,K
79,79,430,Lilly,2021-03-10,2021-03-12,pies,jamnik,K
80,80,162,Mrunia,2020-02-22,2021-03-18,mysz domowa,,K
81,81,995,Ravi,2011-06-22,2020-09-24,pies,pinczer,K
82,82,136,Roxi,2018-11-25,2019-10-15,pies,beagle,K
83,83,120,Mollie,2011-06-07,2020-11-23,kot,burmański,K
84,84,461,Minka,2014-12-15,2021-04-27,pies,alaskan,K
85,85,99,Dianka,2019-07-16,2020-06-10,pies,bernardyn,K
86,86,493,Fija,2015-10-19,2021-04-06,pies,rottweiler,K
87,87,490,Polly,2018-01-10,2020-02-03,pies,beagle,K
88,88,622,Nika,2019-04-13,2019-12-08,szczur domowy,,K
89,89,271,Nuta,2015-05-09,2020-08-01,pies,rottweiler,K
90,90,769,Jolie,2017-01-20,2020-02-06,królik,baranek miniaturka,K
91,91,19,Niunia,2012-01-30,2020-08-11,kot,tiffanie,K
92,92,563,Płoszka,2011-05-20,2020-04-12,pies,szpic,K
93,93,141,Misia,2009-03-23,2020-12-27,pies,chiuahua,K
94,94,70,Kimiko,2019-08-09,2020-03-11,szczur domowy,,K
95,95,635,Prosiałka,2014-04-01,2020-09-21,pies,mops,K
96,96,325,Nesca,2020-09-23,2020-11-13,pies,hot,K
97,97,791,Gambi,2014-12-27,2020-06-23,pies,sznaucer,K
98,98,112,Misia,2015-02-05,2020-11-13,kot,perski,K
99,99,961,Plysinka,2018-01-26,2021-05-29,pies,bullmastif,K
100,100,319,Siri,2019-08-28,2019-10-21,kot,europejski,K
101,101,962,Chini,2020-01-15,2020-05-18,mysz domowa,,K
102,102,117,Lunita,2014-02-23,2020-06-20,pies,owczarek,K
103,103,623,Pchełka,2013-03-14,2020-09-23,pies,cavalier,K
