Nazwisko aktualne,Liczba
NOWAK,100617
KOWALSKI,68061
WIŚNIEWSKI,54170
WÓJCIK,48786
KOWALCZYK,47992
KAMIŃSKI,46735
LEWANDOWSKI,45363
ZIELIŃSKI,44713
SZYMAŃSKI,43499
WOŹNIAK,43487
DĄBROWSKI,42454
KOZŁOWSKI,37068
MAZUR,34063
JANKOWSKI,33866
KWIATKOWSKI,32571
WOJCIECHOWSKI,32209
KRAWCZYK,31072
KACZMAREK,30454
PIOTROWSKI,29998
GRABOWSKI,28610
ZAJĄC,27535
PAWŁOWSKI,27219
KRÓL,27017
MICHALSKI,26602
WRÓBEL,25127
WIECZOREK,24731
JABŁOŃSKI,24588
NOWAKOWSKI,24161
MAJEWSKI,24083
OLSZEWSKI,23714
DUDEK,23155
STĘPIEŃ,23105
JAWORSKI,23046
ADAMCZYK,22972
MALINOWSKI,22911
GÓRSKI,22265
PAWLAK,22201
NOWICKI,22156
SIKORA,22078
WITKOWSKI,21678
RUTKOWSKI,21497
WALCZAK,21403
BARAN,21069
MICHALAK,20766
SZEWCZYK,20569
OSTROWSKI,20448
TOMASZEWSKI,19661
ZALEWSKI,19353
WRÓBLEWSKI,19122
PIETRZAK,18889
JASIŃSKI,18780
MARCINIAK,18525
SADOWSKI,18463
BĄK,18404
ZAWADZKI,18354
DUDA,18345
JAKUBOWSKI,18200
WILK,17637
CHMIELEWSKI,17504
BORKOWSKI,17222
WŁODARCZYK,17178
SOKOŁOWSKI,16850
SZCZEPAŃSKI,16788
SAWICKI,16696
LIS,16525
KUCHARSKI,16087
KALINOWSKI,15850
WYSOCKI,15813
MAZUREK,15788
KUBIAK,15710
MACIEJEWSKI,15682
KOŁODZIEJ,15253
KAŹMIERCZAK,14851
CZARNECKI,14705
SOBCZAK,14206
KONIECZNY,14180
KRUPA,14039
GŁOWACKI,13907
URBAŃSKI,13852
MRÓZ,13801
WASILEWSKI,13690
ZAKRZEWSKI,13686
KRAJEWSKI,13645
LASKOWSKI,13529
SIKORSKI,13499
ZIÓŁKOWSKI,13392
GAJEWSKI,13271
SZULC,13234
MAKOWSKI,13214
KACZMARCZYK,13054
BRZEZIŃSKI,13002
BARANOWSKI,12960
KOZAK,12829
PRZYBYLSKI,12808
SZYMCZAK,12749
KANIA,12743
JANIK,12700
BŁASZCZYK,12676
BOROWSKI,12674
ADAMSKI,12633
GÓRECKI,12558
SZCZEPANIAK,12476
CHOJNACKI,12362
KOZIOŁ,12234
LESZCZYŃSKI,12202
MUCHA,12194
LIPIŃSKI,12183
CZERWIŃSKI,12171
KOWALEWSKI,12167
ANDRZEJEWSKI,12120
WESOŁOWSKI,12048
MIKOŁAJCZYK,12009
ZIĘBA,11851
CIEŚLAK,11834
JAROSZ,11830
MUSIAŁ,11650
KOWALIK,11623
MARKOWSKI,11567
KOŁODZIEJCZYK,11467
KOPEĆ,11377
BRZOZOWSKI,11292
NOWACKI,11183
PIĄTEK,11167
ŻAK,11154
DOMAŃSKI,11121
ORŁOWSKI,11085
PAWLIK,11054
KUREK,11001
CIESIELSKI,10949
TOMCZYK,10925
TOMCZAK,10915
WÓJTOWICZ,10876
WAWRZYNIAK,10769
KOT,10743
POLAK,10595
KRUK,10588
WOLSKI,10554
MARKIEWICZ,10499
SOWA,10480
STASIAK,10238
JASTRZĘBSKI,10198
STANKIEWICZ,10147
KARPIŃSKI,10132
URBANIAK,10088
KLIMEK,9963
ŁUCZAK,9951
PIASECKI,9941
CZAJKOWSKI,9888
WIERZBICKI,9851
NAWROCKI,9835
GAJDA,9789
BEDNAREK,9590
BIELECKI,9586
DZIEDZIC,9581
STEFAŃSKI,9575
MADEJ,9536
JANICKI,9484
MILEWSKI,9460
SOSNOWSKI,9369
SKIBA,9356
KOWAL,9329
LEŚNIAK,9289
MAJCHRZAK,9281
MAJ,9277
JÓŹWIAK,9262
URBAN,9187
ŚLIWIŃSKI,9101
MAŁECKI,9073
SOCHA,9024
MAREK,9003
DOMAGAŁA,8979
BEDNARCZYK,8961
KASPRZAK,8818
WRONA,8809
DOBROWOLSKI,8775
PAJĄK,8710
